X,Y
-1.024325390235143907e+00,-7.083882874757529979e-01
-1.025852623091809468e+00,-7.030105162045489076e-01
-1.025600061478926683e+00,-7.049145406331579489e-01
-1.031365473311982139e+00,-6.980267459651915418e-01
-1.043440803113230508e+00,-6.928226225804383631e-01
-1.037916449515492445e+00,-6.975103549287636762e-01
-1.036115581921007500e+00,-6.993751697424677172e-01
-1.042466125227459850e+00,-6.930705338178823061e-01
-1.032436187417750340e+00,-6.962262397532387181e-01
-1.031278463980367599e+00,-6.922749999788064823e-01
-1.022004870189904047e+00,-6.991867564887507269e-01
-1.033409004457246816e+00,-6.863830415921675643e-01
-1.030768496882919605e+00,-6.907915032322123894e-01
-1.024427971048810226e+00,-6.994688137052663679e-01
-1.028830343070552322e+00,-6.900206842041246569e-01
-1.027058366503516229e+00,-6.872754461307584162e-01
-1.022302476784116232e+00,-6.871445338042372342e-01
-1.018136241123777541e+00,-6.938130657178107619e-01
-1.018643048518782512e+00,-6.900391405985083493e-01
-1.016398048993215619e+00,-6.959943917192836782e-01
-1.015057285608669702e+00,-6.963017236044699576e-01
-1.016919142183033697e+00,-6.889847688848232954e-01
-1.011031669120346255e+00,-7.020973322842321007e-01
-1.012554277690560500e+00,-6.967069680512423258e-01
-1.005361744782320876e+00,-7.139116750912906095e-01
-1.004432087846805155e+00,-7.223648992645157474e-01
-1.005767486889203255e+00,-7.227497485894998075e-01
-1.004846673631905052e+00,-7.217575183399383976e-01
-1.006069379680461395e+00,-7.203579648587900008e-01
-1.005592549916567435e+00,-7.214405969580811595e-01
-1.006033058650029455e+00,-7.216022357081575134e-01
-1.007407795021999952e+00,-7.190477375818147276e-01
-1.005494344538951035e+00,-7.271281139296166263e-01
-1.007527965314883422e+00,-7.262640983575658904e-01
-1.003712575953553010e+00,-7.270344757194224794e-01
-1.001786948244204112e+00,-7.253501942235118793e-01
-9.995131780456800730e-01,-7.293036800954024734e-01
-9.992685640732497099e-01,-7.336848488907478094e-01
-1.003743037001418204e+00,-7.341451395184490636e-01
-1.003544825907745075e+00,-7.390230243298974155e-01
-1.004435344778782158e+00,-7.386308698878584211e-01
-1.005527424589439223e+00,-7.427142901312757672e-01
-1.000544213404866323e+00,-7.453144171993782985e-01
-9.987552521427167651e-01,-7.402374684961081641e-01
-1.000993227610086800e+00,-7.362150769438026154e-01
-1.002818708571910911e+00,-7.341847988221671395e-01
-1.004278809699432840e+00,-7.367017645952746996e-01
-1.002171811412428282e+00,-7.405064009749666720e-01
-1.002589482669212106e+00,-7.396678525722435449e-01
-1.002150290601218297e+00,-7.392211810226917423e-01
-1.000689843921435340e+00,-7.375392437807707369e-01
-1.002436629162201331e+00,-7.323466506860566438e-01
-1.002126581808588046e+00,-7.322333310541353502e-01
-1.000706020794229545e+00,-7.358091158393655906e-01
-1.002562492552112161e+00,-7.365029181062905383e-01
-1.003214894485153108e+00,-7.363548338565382156e-01
-1.005254557111520120e+00,-7.311612600378574189e-01
-1.003264668258725401e+00,-7.331087547996415488e-01
-9.998297390613479774e-01,-7.382778737441244576e-01
-1.000904671798340972e+00,-7.346898078826349376e-01
-1.001914753901281818e+00,-7.353338876999225837e-01
3.669152049714970998e-01,-3.305455277984619133e-01
-1.001649914169904676e+00,-7.322558427163841088e-01
3.719822425897412188e-01,-3.285413923547104154e-01
-9.999222647362100425e-01,-7.264006885293452509e-01
3.794224824437369969e-01,-3.249089002723576369e-01
-1.002422611663156049e+00,-7.240228793970052701e-01
3.694145344528344532e-01,-3.173802120113005110e-01
-1.003725102928124446e+00,-7.245744754440328617e-01
3.754748648591462734e-01,-3.160155324646303776e-01
-1.005309226769632414e+00,-7.213139537885771002e-01
3.696430811302858777e-01,-3.108571492933555613e-01
-1.005023565811970609e+00,-7.216730157626722875e-01
3.662064114789211899e-01,-3.091166718008080405e-01
-1.006501223508029286e+00,-7.243269188717169627e-01
3.663105865236253589e-01,-3.167021613447593698e-01
-1.005815267804300417e+00,-7.301607405001724338e-01
3.610080492945602071e-01,-3.165147942862549524e-01
